chicken,eggs,ground_beef,milk,month,year
1.078,1.089,2.484,3.161,Oct,2004
1.039,1.085,2.461,3.219,Nov,2004
1.030,1.199,2.465,3.233,Dec,2004
1.026,1.211,2.478,3.304,Jan,2005
1.038,1.284,2.531,3.176,Feb,2005
1.061,1.132,2.519,3.226,Mar,2005
1.070,1.164,2.504,3.225,Apr,2005
1.052,1.185,2.572,3.207,May,2005
1.075,1.139,2.542,3.122,June,2005
1.067,1.165,2.541,3.090,July,2005
1.042,1.166,2.502,3.136,Aug,2005
1.056,1.279,2.535,3.133,Sept,2005
1.062,1.264,2.564,3.171,Oct,2005
1.059,1.279,2.568,3.211,Nov,2005
1.061,1.350,2.606,3.241,Dec,2005
1.062,1.449,2.607,3.197,Jan,2006
1.045,1.328,2.556,3.224,Feb,2006
1.047,1.302,2.568,3.161,Mar,2006
1.054,1.283,2.599,3.123,Apr,2006
1.034,1.206,2.508,3.066,May,2006
1.055,1.242,2.543,3.001,June,2006
1.040,1.213,2.459,3.083,July,2006
1.048,1.244,2.543,3.019,Aug,2006
1.063,1.254,2.508,3.049,Sept,2006
1.038,1.257,2.542,3.064,Oct,2006
1.049,1.354,2.564,2.985,Nov,2006
1.057,1.543,2.606,3.004,Dec,2006
1.033,1.549,2.630,3.067,Jan,2007
1.039,1.746,2.639,3.083,Feb,2007
1.064,1.634,2.628,3.072,Mar,2007
1.115,1.616,2.676,3.135,Apr,2007
1.118,1.504,2.766,3.259,May,2007
1.134,1.373,2.739,3.427,June,2007
1.130,1.502,2.734,3.736,July,2007
1.145,1.634,2.695,3.807,Aug,2007
1.142,1.825,2.744,3.841,Sept,2007
1.135,1.771,2.705,3.838,Oct,2007
1.161,1.862,2.738,3.904,Nov,2007
1.166,2.099,2.702,3.870,Dec,2007
1.163,2.175,2.725,3.871,Jan,2008
1.159,2.168,2.791,3.869,Feb,2008
1.168,2.203,2.832,3.781,Mar,2008
1.176,2.069,2.829,3.799,Apr,2008
1.194,1.930,2.798,3.760,May,2008
1.181,1.920,2.835,3.773,June,2008
1.191,2.011,2.785,3.961,July,2008
1.223,1.854,2.964,3.886,Aug,2008
1.214,1.978,2.981,3.773,Sept,2008
1.205,1.858,2.956,3.656,Oct,2008
1.304,1.838,2.987,3.734,Nov,2008
1.305,1.834,2.999,3.681,Dec,2008
1.292,1.850,2.961,3.575,Jan,2009
1.290,1.795,3.019,3.319,Feb,2009
1.301,1.693,2.976,3.116,Mar,2009
1.296,1.774,2.994,3.084,Apr,2009
1.304,1.501,2.876,3.068,May,2009
1.282,1.529,2.873,3.009,June,2009
1.261,1.495,2.800,2.992,July,2009
1.287,1.632,2.843,2.979,Aug,2009
1.258,1.627,2.782,2.981,Sept,2009
1.244,1.595,2.785,3.046,Oct,2009
1.256,1.705,2.797,3.034,Nov,2009
1.267,1.772,2.828,3.105,Dec,2009
1.265,1.789,2.825,3.236,Jan,2010
1.265,1.872,2.881,3.203,Feb,2010
1.231,1.822,2.824,3.188,Mar,2010
1.230,1.779,2.890,3.140,Apr,2010
1.259,1.523,2.921,3.178,May,2010
1.239,1.494,2.965,3.297,June,2010
1.280,1.441,2.936,3.313,July,2010
1.254,1.519,2.849,3.303,Aug,2010
1.276,1.753,2.915,3.278,Sept,2010
1.302,1.456,2.978,3.321,Oct,2010
1.277,1.675,2.949,3.327,Nov,2010
1.280,1.793,2.932,3.318,Dec,2010
1.241,1.806,2.991,3.301,Jan,2011
1.266,1.708,3.058,3.357,Feb,2011
1.269,1.732,3.151,3.503,Mar,2011
1.261,1.727,3.250,3.597,Apr,2011
1.302,1.692,3.277,3.653,May,2011
1.305,1.683,3.211,3.622,June,2011
1.306,1.647,3.272,3.654,July,2011
1.296,1.711,3.231,3.713,Aug,2011
1.294,1.947,3.105,3.715,Sept,2011
1.312,1.871,3.218,3.622,Oct,2011
1.304,1.836,3.197,3.557,Nov,2011
1.340,1.874,3.265,3.565,Dec,2011
1.334,1.939,3.292,3.583,Jan,2012
1.356,1.798,3.294,3.520,Feb,2012
1.372,1.774,3.366,3.499,Mar,2012
1.401,1.829,3.327,3.474,Apr,2012
1.347,1.691,3.379,3.427,May,2012
1.390,1.670,3.448,3.396,June,2012
1.454,1.648,3.449,3.428,July,2012
1.433,1.884,3.447,3.474,Aug,2012
1.455,1.889,3.482,3.469,Sept,2012
1.530,1.960,3.514,3.524,Oct,2012
1.512,1.963,3.460,3.536,Nov,2012
1.482,2.007,3.464,3.580,Dec,2012
1.497,1.933,3.406,3.526,Jan,2013
1.456,1.965,3.408,3.480,Feb,2013
1.471,1.925,3.417,3.431,Mar,2013
1.473,1.918,3.479,3.428,Apr,2013
1.466,1.870,3.461,3.441,May,2013
1.509,1.859,3.403,3.458,June,2013
1.484,1.833,3.423,3.449,July,2013
1.489,1.838,3.511,3.448,Aug,2013
1.528,1.897,3.445,3.428,Sept,2013
1.543,1.925,3.492,3.462,Oct,2013
1.518,1.925,3.610,3.491,Nov,2013
1.520,2.026,3.585,3.501,Dec,2013
1.529,2.008,3.586,3.552,Jan,2014
1.504,1.998,3.733,3.561,Feb,2014
1.544,2.061,3.745,3.669,Mar,2014
1.530,2.119,3.886,3.687,Apr,2014
1.556,1.996,3.849,3.735,May,2014
1.503,1.948,3.907,3.626,June,2014
1.495,1.950,3.917,3.645,July,2014
1.572,1.979,4.024,3.673,Aug,2014
1.543,1.970,4.201,3.732,Sept,2014
1.549,1.951,4.294,3.766,Oct,2014
1.533,2.032,4.260,3.858,Nov,2014
1.541,2.210,4.217,3.820,Dec,2014
1.546,2.113,4.375,3.758,Jan,2015
1.550,2.088,4.403,3.496,Feb,2015
1.545,2.133,4.364,3.463,Mar,2015
1.539,2.065,4.323,3.397,Apr,2015
1.483,1.962,4.308,3.387,May,2015
1.515,2.570,4.324,3.366,June,2015
1.487,2.570,4.266,3.430,July,2015
1.428,2.943,4.222,3.389,Aug,2015
1.415,2.966,4.195,3.392,Sept,2015
1.430,2.808,4.119,3.338,Oct,2015
1.484,2.664,4.082,3.299,Nov,2015
1.437,2.751,4.025,3.310,Dec,2015
1.429,2.328,4.019,3.313,Jan,2016
1.478,2.267,3.945,3.230,Feb,2016
1.463,2.081,3.929,3.187,Mar,2016
1.496,1.793,3.933,3.155,Apr,2016
1.489,1.684,3.902,3.157,May,2016
1.408,1.491,3.840,3.115,June,2016
1.445,1.546,3.807,3.062,July,2016
1.426,1.455,3.912,3.141,Aug,2016
1.487,1.471,3.791,3.229,Sept,2016
1.502,1.390,3.742,3.292,Oct,2016
1.478,1.321,3.703,3.280,Nov,2016
1.463,1.383,3.619,3.290,Dec,2016
1.418,1.599,3.621,3.318,Jan,2017
1.473,1.464,3.549,3.300,Feb,2017
1.462,1.404,3.590,3.315,Mar,2017
1.444,1.409,3.675,3.259,Apr,2017
1.499,1.414,3.645,3.242,May,2017
1.497,1.332,3.768,3.213,June,2017
1.496,1.333,3.866,3.219,July,2017
1.489,1.367,3.785,3.168,Aug,2017
1.480,1.422,3.801,3.209,Sept,2017
1.484,1.540,3.703,3.158,Oct,2017
1.451,1.506,3.775,3.150,Nov,2017
1.470,1.815,3.729,3.155,Dec,2017
1.509,1.769,3.668,2.961,Jan,2018
1.478,1.755,3.659,2.923,Feb,2018
1.502,1.831,3.728,2.903,Mar,2018
1.511,2.081,3.775,2.924,Apr,2018
1.523,1.987,3.688,2.919,May,2018
1.514,1.628,3.824,2.877,June,2018
1.519,1.725,3.786,2.839,July,2018
1.511,1.622,3.738,2.871,Aug,2018
1.487,1.651,3.701,2.890,Sept,2018
1.444,1.660,3.692,2.913,Oct,2018
1.501,1.596,3.745,2.877,Nov,2018
1.466,1.595,3.709,2.853,Dec,2018
1.473,1.554,3.727,2.913,Jan,2019
1.486,1.557,3.847,2.900,Feb,2019
1.468,1.544,3.831,2.944,Mar,2019
1.463,1.463,3.907,2.980,Apr,2019
1.479,1.362,4.023,2.963,May,2019
1.590,1.203,3.951,3.054,June,2019
1.562,1.243,4.001,3.031,July,2019
1.514,1.219,4.019,3.045,Aug,2019
1.487,1.383,3.885,3.102,Sept,2019
1.538,1.282,4.027,3.119,Oct,2019
1.430,1.405,3.993,3.189,Nov,2019
1.450,1.535,4.066,3.188,Dec,2019
1.409,1.461,4.100,3.253,Jan,2020
1.362,1.449,4.033,3.196,Feb,2020
1.400,1.525,4.108,3.248,Mar,2020
1.571,2.019,4.343,3.267,Apr,2020
 ,1.640,4.789,3.210,May,2020
1.747,1.554,5.330,3.198,June,2020
1.712,1.401,4.732,3.255,July,2020
1.609,1.328,4.307,3.406,Aug,2020
1.542,1.353,4.165,3.448,Sept,2020
1.580,1.408,4.212,3.380,Oct,2020
1.639,1.450,4.330,3.425,Nov,2020
1.621,1.481,4.202,3.535,Dec,2020
1.595,1.466,4.310,3.468,Jan,2021
1.583,1.597,4.252,3.368,Feb,2021
1.543,1.625,4.377,3.348,Mar,2021
1.515,1.620,4.290,3.447,Apr,2021
1.486,1.625,4.495,3.497,May,2021
1.474,1.642,4.565,3.557,June,2021
1.435,1.642,4.521,3.627,July,2021
1.472,1.709,4.636,3.560,Aug,2021
1.504,1.835,4.786,3.585,Sept,2021
1.523,1.821,4.869,3.663,Oct,2021
1.583,1.718,4.810,3.671,Nov,2021
1.606,1.788,4.792,3.743,Dec,2021
1.622,1.929,4.765,3.787,Jan,2022
1.632,2.005,4.627,3.875,Feb,2022
1.724,2.046,4.870,3.917,Mar,2022
1.794,2.520,4.945,4.012,Apr,2022
1.824,2.863,4.894,4.204,May,2022
1.826,2.707,4.997,4.153,June,2022
1.880,2.936,5.075,4.156,July,2022
1.879,3.116,5.120,4.194,Aug,2022
1.891,2.902,4.890,4.181,Sept,2022
1.863,3.419,4.789,4.184,Oct,2022
1.843,3.589,4.728,4.218,Nov,2022
1.830,4.250,4.758,4.211,Dec,2022
1.855,4.823,4.644,4.204,Jan,2023
1.894,4.211,4.777,4.163,Feb,2023
1.868,3.446,4.753,4.098,Mar,2023
1.873,3.270,4.747,4.042,Apr,2023
1.920,2.666,4.953,4.042,May,2023
1.953,2.219,5.106,3.985,June,2023
1.891,2.094,5.253,3.971,July,2023
1.958,2.043,5.259,3.927,Aug,2023
1.901,2.065,5.185,3.965,Sept,2023
1.926,2.072,5.349,3.927,Oct,2023
1.976,2.138,5.201,3.997,Nov,2023
1.955,2.507,5.118,4.008,Dec,2023
1.987,2.522,5.093,3.958,Jan,2024
1.951,2.996,5.213,3.940,Feb,2024
1.991,2.992,5.421,3.893,Mar,2024
1.953,2.864,5.277,3.868,Apr,2024
2.013,2.699,5.331,3.864,May,2024
2.007,2.715,5.364,3.956,June,2024
1.988,3.080,5.470,3.983,July,2024
1.988,3.204,5.638,4.044,Aug,2024
1.979,3.821,5.576,4.021,Sept,2024
1.987,3.370,5.586,4.041,Oct,2024
